name,time,INNER_PRESS,INNER_PRESS_1,OVER_TEMP,OVER_TEMP_1,PUMP_PRESS,PUMP_PRESS_1,TEMPERATURE1,TEMPERATURE1_1,TS_AMP1_(R),TS_AMP1_(R)_1,TS_AMP1_(S),TS_AMP1_(S)_1,TS_AMP1_(T),TS_AMP1_(T)_1,TS_VOLT1_(RS),TS_VOLT1_(RS)_1,TS_VOLT1_(RT),TS_VOLT1_(RT)_1,TS_VOLT1_(ST),TS_VOLT1_(ST)_1
TS0001,1596953362194208553,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,197,197.0,0,0.0,0,0.0
TS0001,1596953364186584493,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,197,197.0,0,0.0,204,204.0
TS0001,1596953366186643695,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,197,197.0,251,251.0,204,204.0
TS0001,1596953368184885493,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,0,0.0,197,197.0,251,251.0,204,204.0
TS0001,1596953370182761179,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,0,0.0,197,197.0,251,251.0,204,204.0
TS0001,1596953372182797480,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,197,197.0,251,251.0,204,204.0
TS0001,1596953374183465060,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,197,197.0,251,251.0,204,204.0
TS0001,1596953376185174592,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,197,197.0,251,251.0,204,204.0
TS0001,1596953378184192371,0,0.0,0,0.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,197,197.0,251,251.0,204,204.0
TS0001,1596953380184387549,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,197,197.0,251,251.0,204,204.0
TS0001,1596953382183494278,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,130,130.0,251,251.0,204,204.0
TS0001,1596953384184377754,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,130,130.0,251,251.0,107,107.0
TS0001,1596953386183116355,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,130,130.0,0,0.0,107,107.0
TS0001,1596953388187783754,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,32767,32767.0,130,130.0,0,0.0,107,107.0
TS0001,1596953390181877546,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,32767,32767.0,130,130.0,0,0.0,107,107.0
TS0001,1596953392183740503,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,130,130.0,0,0.0,107,107.0
TS0001,1596953394183846512,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,130,130.0,0,0.0,107,107.0
TS0001,1596953396184259894,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,130,130.0,0,0.0,107,107.0
TS0001,1596953398184486083,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,130,130.0,0,0.0,107,107.0
TS0001,1596953400184776098,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,130,130.0,0,0.0,107,107.0
TS0001,1596953402183207111,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,0,0.0,0,0.0,107,107.0
TS0001,1596953404180330634,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,0,0.0,0,0.0,0,0.0
TS0001,1596953406182387030,0,0.0,164,164.0,0,0.0,0,0.0,26022,26022.0,0,0.0,21294,21294.0,0,0.0,0,0.0,0,0.0
TS0001,1596953408181376921,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,21294,21294.0,0,0.0,0,0.0,0,0.0
TS0001,1596953410182372864,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,21294,21294.0,0,0.0,0,0.0,0,0.0
TS0001,1596953412182584410,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,0,0.0,0,0.0,0,0.0
TS0001,1596953414181482146,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,0,0.0,0,0.0,0,0.0
TS0001,1596953416180433126,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,0,0.0,0,0.0,0,0.0
TS0001,1596953418181840822,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,0,0.0,0,0.0,0,0.0
TS0001,1596953420179359370,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,0,0.0,0,0.0,0,0.0
TS0001,1596953422177894007,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,0,0.0,0,0.0
TS0001,1596953424178284060,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,0,0.0,201,201.0
TS0001,1596953426178720793,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953428178890191,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953430179131499,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953432176076535,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953434178216747,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953436176238396,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
TS0001,1596953438174365551,0,0.0,164,164.0,0,0.0,0,0.0,32767,32767.0,0,0.0,32767,32767.0,190,190.0,252,252.0,201,201.0
